Régime particulier,Nombre places calculées,Adresse complète,Type mobilier,Numéro mobilier,geo_point_2d,Tarif
Vélos,5,9 BD DELESSERT,Sans,0,"48.8590467357428, 2.2869717764628934",Gratuit
Vélos,5,37 RUE JEAN LECLAIRE,Sans,0,"48.896749150746004, 2.3272306435894667",Gratuit
Vélos,6,13 RUE CAMBRONNE,Epingle vélo,6,"48.846651347283675, 2.301747780675368",Gratuit
Vélos,5,13 RUE DU CHAMP DE MARS,Sans,0,"48.85639441233056, 2.305727202368027",Gratuit
Vélos,6,58 BD PASTEUR,Epingle vélo,6,"48.840713472588284, 2.314245612282858",Gratuit
Vélos,14,21 RUE NOTRE-DAME DE LORETTE,Nougarette,7,"48.87797542086477, 2.337928407814874",Gratuit
Vélos,38,44 RUE D' ULM,Nougarette,19,"48.8422280664164, 2.3441110823018163",Gratuit
Vélos,8,16 AV DE LA PORTE BRANCION,Nougarette,4,"48.82670380726461, 2.3005367629831373",Gratuit
Vélos,32,10 PL DU PANTHEON,Nougarette,16,"48.8468205483983, 2.3461069736401985",Gratuit
Vélos,16,108 BD BERTHIER,Nougarette,8,"48.88961111803764, 2.3026244719414146",Gratuit
Vélos,10,3 RUE PIERRE FONCIN,Nougarette,5,"48.871461251237974, 2.4090701039165534",Gratuit
Vélos,3,22 RUE LESAGE,Epingle vélo,3,"48.872372989384495, 2.3822854931807416",Gratuit
Vélos,14,68 BD DE STRASBOURG,Nougarette,7,"48.87448585368772, 2.3573778294768317",Gratuit
Vélos,10,20 PL DE LA CHAPELLE,Nougarette,5,"48.884920988028114, 2.3596592796121034",Gratuit
Vélos,10,24 BD EDGAR QUINET,Nougarette,5,"48.84016201825567, 2.327687155072156",Gratuit
Vélos,5,57 RUE AMPERE,Sans,0,"48.88523934568271, 2.3014267158454786",Gratuit
Vélos,8,14 RUE GERARD DE NERVAL,Nougarette,4,"48.90034469677201, 2.3347397126161495",Gratuit
Vélos,5,1 RUE DE LASTEYRIE,Sans,0,"48.871446200845824, 2.2846898038166596",Gratuit
Vélos,5,3 RUE DE LA BIDASSOA,Sans,0,"48.865338546472074, 2.394981125712293",Gratuit
Vélos,8,143 RUE DE LOURMEL,Nougarette,4,"48.840527750449866, 2.2841568322538612",Gratuit
Vélos,5,19 RUE NAVIER,Sans,0,"48.895600051178974, 2.326391629706303",Gratuit
Vélos,16,23 RUE DU TEMPLE,Nougarette,8,"48.8589440303739, 2.353620885712428",Gratuit
Vélos,4,19 RUE DU TEMPLE,Nougarette,2,"48.85868857720329, 2.3534467938501886",Gratuit
Vélos,8,174 RUE DU FAUBOURG SAINT-MARTIN,Nougarette,4,"48.87778073637023, 2.361524479677828",Gratuit
Vélos,10,1 RUE DU FAUCONNIER,Nougarette,5,"48.85320833887269, 2.359265028016966",Gratuit
Vélos,24,42 BD SAINT-MICHEL,Nougarette,12,"48.84919595502186, 2.341849460118669",Gratuit
Vélos,4,39 BD SAINT-MICHEL,Nougarette,2,"48.84939176865838, 2.342219305749219",Gratuit
Vélos,12,33 AV DE SAINT-MANDE,Nougarette,6,"48.845227339080445, 2.4002181379179466",Gratuit
Vélos,14,1 RUE MORNAY,Nougarette,7,"48.84933108434412, 2.3663436880969497",Gratuit
Vélos,10,2 RUE SAVORGNAN DE BRAZZA,Nougarette,5,"48.855271605747355, 2.3035595807157634",Gratuit
Vélos,10,82 RUE BONAPARTE,Nougarette,5,"48.84974637828817, 2.3329164301005414",Gratuit
Vélos,9,21 RUE GEORGE BERNARD SHAW,Sans,0,"48.85170914019319, 2.293582900169147",Gratuit
Vélos,10,30 RUE DE MARTIGNAC,Sans,0,"48.85750330901604, 2.318132514926878",Gratuit
Vélos,8, RUE DE LA CHINE,Nougarette,4,"48.866395116704766, 2.3999720998260883",Gratuit
Vélos,4,103 RUE DE MAUBEUGE,Sans,0,"48.88149036785162, 2.353871944233568",Gratuit
Vélos,36,15 RUE FERNAND BRAUDEL,Nougarette,18,"48.83577402806823, 2.372839309225395",Gratuit
Vélo-cargo,2,5 RUE DE LOUVOIS,Arceau vélo cargo,2,"48.868331195544066, 2.33685061610481",Gratuit
Vélos,10,12 RUE PERRONET,Nougarette,5,"48.855469054071186, 2.329966742236584",Gratuit
Vélos,8,9 BD DU PALAIS,Nougarette,4,"48.85478914435456, 2.345507015951447",Gratuit
Vélos,12,7 BD DU PALAIS,Nougarette,6,"48.85496609806818, 2.3456913850668024",Gratuit
Vélos,6,1 RUE LABIE,Nougarette,3,"48.87962852445961, 2.289085929909",Gratuit
Vélos,14,3 BD DU PALAIS,Nougarette,7,"48.85513917247108, 2.3458716261786274",Gratuit
Vélos,4,3 RUE DE LUTECE,Nougarette,2,"48.855238507104644, 2.3468931245488265",Gratuit
Vélos,12,1 BD DU PALAIS,Nougarette,6,"48.85594895557291, 2.3464604876961137",Gratuit
Vélos,18,8 RUE SEVERO,Nougarette,9,"48.832215412096325, 2.324137850835516",Gratuit
